"ProcessName","Id","Path"
"Discord","5896","C:\Users\Trevo\AppData\Local\Discord\app-0.0.309\Discord.exe"
"Discord","6140","C:\Users\Trevo\AppData\Local\Discord\app-0.0.309\Discord.exe"
"Discord","10616","C:\Users\Trevo\AppData\Local\Discord\app-0.0.309\Discord.exe"
"Discord","15524","C:\Users\Trevo\AppData\Local\Discord\app-0.0.309\Discord.exe"
"dllhost","1856","C:\WINDOWS\system32\DllHost.exe"
"dllhost","12256","C:\WINDOWS\system32\DllHost.exe"
"dllhost","14868","C:\WINDOWS\system32\DllHost.exe"
"dwm","1408","C:\WINDOWS\system32\dwm.exe"
"explorer","8796","C:\WINDOWS\Explorer.EXE"
"fontdrvhost","1196","C:\WINDOWS\system32\fontdrvhost.exe"
"fontdrvhost","1200","C:\WINDOWS\system32\fontdrvhost.exe"
"GamingServices","5604","C:\Program Files\WindowsApps\Microsoft.GamingServices_2.51.3002.0_x64__8wekyb3d8bbwe\GamingServices.exe"
"GamingServicesNet","5612","C:\Program Files\WindowsApps\Microsoft.GamingServices_2.51.3002.0_x64__8wekyb3d8bbwe\GamingServicesNet.exe"
"Idle","0",
"jucheck","3420","C:\Program Files (x86)\Common Files\Java\Java Update\jucheck.exe"
"jusched","15840","C:\Program Files (x86)\Common Files\Java\Java Update\jusched.exe"
"LightingService","4620","C:\Program Files (x86)\LightingService\LightingService.exe"
"LockApp","11752","C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe"
"lsass","8","C:\WINDOWS\system32\lsass.exe"
"Memory Compression","3196",
"MoUsoCoreWorker","7940","C:\Windows\System32\mousocoreworker.exe"
"MsMpEng","4140",
"NahimicService","4596","C:\WINDOWS\system32\NahimicService.exe"
"NahimicSvc32","14416","C:\WINDOWS\SysWOW64\NahimicSvc32.exe"
"NahimicSvc64","12844","C:\WINDOWS\system32\NahimicSvc64.exe"
"NisSrv","9348",
"nordvpn-service","4156","C:\Program Files\NordVPN\nordvpn-service.exe"
"nvcontainer","4628","C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe"
"nvcontainer","6836","C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe"
"NVDisplay.Container","2896","C:\WINDOWS\System32\DriverStore\FileRepository\nvami.inf_amd64_9ec766fc3b32fb0e\Display.NvContainer\NVDisplay.Container.exe"
"NVDisplay.Container","3064","C:\WINDOWS\System32\DriverStore\FileRepository\nvami.inf_amd64_9ec766fc3b32fb0e\Display.NvContainer\NVDisplay.Container.exe"
"NVIDIA RTX Voice","7704","C:\Program Files\NVIDIA Corporation\NVIDIA RTX Voice\NVIDIA RTX Voice.exe"
"NVIDIA Web Helper","11900","C:\Program Files (x86)\NVIDIA Corporation\NvNode\NVIDIA Web Helper.exe"
"OfficeClickToRun","9584","C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"
"OVRRedir","7376","C:\Program Files\Oculus\Support\oculus-runtime\OVRRedir.exe"
"OVRServer_x64","7280","C:\Program Files\Oculus\Support\oculus-runtime\OVRServer_x64.exe"
"OVRServiceLauncher","4700","C:\Program Files\Oculus\Support\oculus-runtime\OVRServiceLauncher.exe"
"P508PowerAgent","7764","C:\Program Files (x86)\ASUS\ArmouryDevice\dll\ShareFromArmouryIII\Mouse\ROG STRIX CARRY\P508PowerAgent.exe"
"powershell_ise","14988","C:\WINDOWS\system32\WindowsPowerShell\v1.0\PowerShell_ISE.exe"
"ProcessGovernor","7800","C:\Program Files\Process Lasso\processgovernor.exe"
"ProcessLasso","7672","C:\Program Files\Process Lasso\processlasso.exe"
